trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.5, 'e': 0.9603336660684902}",30,0,-241.21293913177004,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 5}",0
19,False,"{'a': 0.5, 'e': 0.9558374927740543}",20,0,-20.700052755336614,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.951105719935495}",20,0,-136.10310887069465,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9461395138635421}",25,0,-177.48558770985142,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.9409400986531861}",25,0,-123.35114565121998,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9355087558819573}",20,0,-119.59974193683522,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9298468242940358}",25,0,-207.76775101697697,"{0: 15, 1: 3, 2: 1, 3: 2, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.9239556994702721}",25,0,-85.66808569499803,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9178368334841971}",25,0,-93.83441367849741,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.9114917345441071}",25,0,-100.0931208133402,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9049219666213144}",20,0,-168.42272785498398,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.898129149064651}",20,0,-33.19234555157055,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.891114956201324}",20,0,-39.271889806814585,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8838811169242189}",30,4,-116.46831020156132,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.8764294142657537}",25,9,-104.51410136177424,"{0: 7, 1: 3, 2: 4, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.8687616849583882}",30,0,-104.91215338582664,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.8608798189818972}",20,0,-67.94157895663463,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8527857590975187}",25,0,-124.70753930758008,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.844481500369093}",30,0,-143.28144858145416,"{0: 14, 1: 6, 2: 7, 3: 3, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8359690896713088}",20,0,-39.68061119882168,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.8272506251851803}",20,0,-45.23467843645669,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.8183282558808763}",25,0,-236.6144822635621,"{0: 11, 1: 1, 2: 8, 3: 2, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.8092041809880324}",20,0,-67.00719623746382,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.7998806494536727}",20,7,-77.03174513711006,"{0: 6, 1: 1, 2: 4, 3: 2, 4: 0}",1
